Time (msec),* Lambda Integrator - Bank 1 (%),* Lambda Integrator - Bank 2 (%),** Lambda Multiplicative Adaptation - Bank 2 (%),** Lambda Multiplicative Adaptation - Bank 1 (%),** Lambda Additive Adaptation - Bank 2 (ms),** Lambda Additive Adaptation - Bank 1 (ms),* Battery voltage (V),* Coolant Temperature (°C),* Engine Load (mg/stroke),* Electric fan (%),* Engine Speed (RPM),* Fuel Injector Pulse Width (ms),* Intake Air Temperature (°C),* Oil Temperature (°C),* Vehicle Speed (km/h)
19561,11.59,12.67,0.00,0.00,0.00,0.00,13.4,102.0,80.61,0,844,2.340,55.5,107.2,13
19721,11.88,12.96,0.00,0.00,0.00,0.00,13.4,102.8,82.28,0,827,2.380,55.5,107.2,13
19920,12.23,13.31,0.00,0.00,0.00,0.00,13.3,102.8,88.13,0,772,2.548,55.5,107.2,13
20080,12.45,13.52,0.00,0.00,0.00,0.00,13.1,102.8,93.70,0,741,2.660,55.5,107.2,13
20241,12.67,13.74,0.00,0.00,0.00,0.00,12.8,102.0,96.03,0,723,2.760,55.5,107.2,13
20401,12.89,13.96,0.00,0.00,0.00,0.00,12.7,102.0,96.16,0,722,2.880,55.5,107.2,13
20561,13.11,14.18,0.00,0.00,0.00,0.00,12.8,102.0,95.23,0,729,2.952,55.5,107.2,11
20720,13.32,14.40,0.00,0.00,0.00,0.00,12.9,102.8,94.34,0,736,3.028,55.5,107.2,11
20882,13.54,14.62,0.00,0.00,0.00,0.00,12.9,102.8,93.45,0,743,3.048,55.5,107.2,11
21080,13.60,14.69,0.00,0.00,0.00,0.00,13.0,102.8,94.80,0,747,3.052,55.5,107.2,11
21241,13.60,14.69,0.00,0.00,0.00,0.00,13.3,102.8,93.19,0,745,3.052,55.5,107.2,11
21402,13.60,14.69,0.00,0.00,0.00,0.00,13.5,102.8,95.31,0,743,3.060,55.5,107.2,11
21601,13.60,14.69,0.00,0.00,0.00,0.00,13.4,102.8,142.42,0,741,3.988,55.5,107.2,8
21800,11.54,14.69,0.00,0.00,0.00,0.00,13.5,102.8,271.30,0,778,5.648,55.5,107.2,8
21960,11.06,12.20,0.00,0.00,0.00,0.00,13.6,102.8,263.69,0,811,6.920,55.5,107.2,8
22121,10.45,11.59,0.00,0.00,0.00,0.00,13.5,102.0,219.02,0,913,7.296,55.5,107.2,8
22280,9.68,10.83,0.00,0.00,0.00,0.00,13.5,102.0,188.57,0,1031,6.840,55.5,107.2,8
