Time (msec),* Engine Load (mg/stroke),* Fuel Injector Pulse Width (ms),* Lambda Integrator - Bank 1 (%),* Lambda Integrator - Bank 2 (%),* Oil Temperature (°C),* Engine Speed (RPM)
49201,52.74,1.280,0.66,4.64,100.9,2132
49322,52.00,1.280,0.66,4.64,100.9,2109
49441,52.76,1.276,0.66,4.64,100.9,2079
49521,52.38,1.280,0.66,4.64,100.9,2041
49640,52.19,1.264,0.66,4.64,100.9,1995
49721,50.35,1.248,0.66,4.64,100.9,1958
49841,49.54,1.224,0.66,4.64,100.9,1906
49920,47.38,1.204,0.66,4.64,100.9,1875
50000,45.96,1.168,0.66,4.64,100.9,1843
50079,44.37,1.144,0.66,4.64,100.9,1815
50161,44.31,1.128,0.66,4.64,100.9,1786
50280,42.89,1.100,0.66,4.64,100.9,1748
50360,42.17,1.088,0.66,4.64,100.9,1745
50440,40.98,1.084,0.66,4.64,100.9,1728
50521,40.90,1.068,0.66,4.64,100.9,1697
50639,40.47,1.048,0.66,4.64,100.9,1681
50720,40.20,1.036,0.66,4.64,100.9,1658
50799,40.03,1.020,0.66,4.64,100.9,1630
50881,39.71,1.024,0.66,4.64,100.9,1608
51000,41.32,1.072,0.66,4.64,100.9,1579
51080,43.76,1.076,0.81,6.75,100.9,1555
51160,46.85,1.108,1.10,7.05,100.9,1541
51240,50.33,1.140,1.39,7.34,100.9,1545
51359,56.81,1.176,1.83,7.78,100.9,1491
51440,57.62,1.220,2.11,8.06,100.9,1470
51519,66.26,1.340,2.37,8.32,100.9,1467
51599,77.83,1.468,2.62,8.57,100.9,1463
51680,89.02,1.540,2.88,8.83,100.9,1435
51760,103.41,1.756,3.14,9.08,100.9,1410
51841,120.32,2.416,3.39,9.34,100.9,1408
51919,138.29,2.604,3.68,9.63,100.9,1426
52000,166.30,3.184,3.98,9.93,100.9,1453
52081,206.64,3.484,4.31,10.26,100.9,1391
52200,223.91,4.196,4.87,10.52,100.9,1383
52280,243.28,4.540,4.92,10.52,100.9,1427
52361,257.20,4.736,4.92,10.52,100.9,1393
52441,270.81,5.156,4.92,10.52,100.9,1364
52559,271.70,5.464,4.92,10.52,100.9,1426
52640,279.90,5.612,4.92,10.52,100.9,1414
52720,285.83,5.772,4.92,10.52,100.9,1404
52800,280.41,5.932,4.92,10.52,100.9,1451
52880,296.70,6.060,4.92,8.05,100.9,1479
53001,289.58,6.236,0.88,1.99,100.9,1453
53120,303.67,6.448,1.96,4.18,100.9,1509
53199,309.71,6.588,2.71,4.93,100.9,1502
53279,301.77,6.708,3.46,5.68,102.5,1514
53361,305.24,6.776,4.24,6.46,102.5,1565
53441,307.81,6.880,5.04,7.27,102.5,1561
53561,299.50,7.016,1.25,3.47,102.5,1595
53680,298.12,7.100,2.47,4.69,102.5,1635
53761,308.12,7.160,3.31,5.53,102.5,1636
53839,301.13,7.240,4.15,6.37,102.5,1674
53919,294.24,7.264,4.99,7.21,102.5,1699
54000,296.11,7.264,0.83,3.06,102.5,1707
54080,292.70,7.300,1.70,3.92,102.5,1727
54160,294.48,7.316,2.58,4.25,102.5,1759
54241,293.67,7.340,3.46,4.25,102.5,1778
54320,294.52,7.340,3.68,4.25,102.5,1787
54400,292.36,7.276,3.68,4.25,102.5,1824
54479,284.12,7.168,3.68,4.25,102.5,1828
54561,287.38,7.088,3.68,4.25,102.5,1841
54641,282.61,7.036,3.68,4.25,102.5,1877
54720,280.51,7.020,3.68,4.25,102.5,1896
54800,282.70,6.976,3.68,4.25,102.5,1906
54880,279.45,6.924,3.68,1.50,102.5,1938
54960,280.98,6.896,3.68,0.55,102.5,1962
55042,281.00,6.888,1.64,-0.40,102.5,1957
55160,277.74,6.668,0.19,2.75,102.5,1990
55241,279.24,6.664,1.15,3.74,102.5,2014
55360,279.92,6.772,2.64,5.22,102.5,2024
55441,277.59,6.864,3.64,6.22,102.5,2061
55560,279.07,6.884,5.18,6.22,102.5,2055
55640,268.37,6.812,4.67,5.59,102.5,2075
55720,270.89,6.856,4.67,5.59,102.5,2112
55801,273.01,6.824,4.67,5.59,102.5,2116
55881,273.94,6.808,4.67,5.59,102.5,2124
56000,272.31,6.812,4.67,5.59,102.5,2157
56080,273.90,6.808,4.67,5.59,102.5,2175
56161,272.67,6.812,4.67,3.06,102.5,2195
56280,275.98,6.656,2.44,1.47,102.5,2214
56361,277.10,6.568,1.38,0.41,102.5,2225
56481,272.67,6.456,-0.22,-1.20,102.5,2256
56599,273.58,6.368,-1.87,-0.95,102.5,2274
56680,271.32,6.336,-1.08,0.15,102.5,2293
56800,270.79,6.416,0.57,1.79,102.5,2323
56879,268.22,6.460,1.67,2.89,102.5,2335
56960,268.84,6.524,2.77,3.44,102.5,2345
57081,267.57,6.556,3.60,3.44,102.5,2377
57200,266.38,6.500,3.60,3.44,102.5,2398
57321,267.76,6.492,3.60,3.44,102.5,2422
57440,268.86,6.532,3.60,3.44,102.5,2443
57520,262.16,6.412,3.60,3.44,102.5,2463
57599,263.73,6.436,3.60,1.40,102.5,2480
57680,241.95,6.180,3.60,0.26,102.5,2491
57799,203.15,5.464,0.30,-1.41,102.5,2495
57880,170.39,4.908,-0.75,-2.45,102.5,2502
58000,111.95,3.940,-2.22,-3.92,102.5,2518
58079,89.27,3.164,-3.12,-4.82,102.5,2520
58159,90.31,2.708,-3.89,-5.59,102.5,2506
58239,91.35,2.520,-4.58,-6.28,102.5,2493
58320,92.64,2.448,-2.67,-3.87,102.5,2503
58441,97.47,2.348,-1.73,-2.94,102.5,2493
58559,109.32,2.436,-1.27,-2.01,102.5,2477
58639,115.06,2.464,-3.52,-1.38,102.5,2486
58720,118.24,2.540,-4.14,-0.76,102.5,2478
58800,120.89,2.560,-4.79,-0.11,102.5,2458
58881,119.74,2.608,-5.43,0.21,102.5,2447
59000,124.94,2.640,-6.37,0.21,102.5,2434
59119,132.76,2.724,-7.31,0.21,102.5,2437
59200,137.31,2.792,-7.97,0.21,102.5,2417
59279,138.46,2.840,-8.66,0.21,102.5,2387
59360,140.43,2.852,-9.36,0.21,102.5,2393
59441,144.85,2.924,-10.06,0.21,102.5,2406
59520,145.17,3.056,-7.47,0.21,102.5,2401
59639,143.60,3.112,-6.37,-2.05,102.5,2398
59720,145.13,3.160,-5.64,-2.79,102.5,2411
59799,145.74,3.208,-5.00,-3.52,102.5,2401
59881,147.61,3.144,-7.26,-4.25,102.5,2380
59999,147.48,3.140,-8.39,-5.38,102.5,2382
60080,148.35,3.180,-7.10,-6.15,102.5,2387
60199,145.77,3.220,-5.95,-4.86,102.5,2410
60280,144.85,3.236,-5.18,-4.09,102.5,2406
60359,145.07,3.240,-4.42,-3.33,102.5,2393
60440,147.31,3.276,-3.69,-2.60,102.5,2385
60520,147.84,3.312,-2.93,-1.84,102.5,2395
60600,147.06,3.368,-2.16,-1.07,102.5,2408
60680,147.23,3.392,-1.39,-0.30,102.5,2405
60759,152.10,3.416,-3.18,0.37,102.5,2392
60839,168.29,3.584,-3.95,0.37,102.5,2393
60919,187.91,3.704,-4.75,-2.28,102.5,2409
61000,193.93,3.904,-5.61,-3.14,102.5,2413
61120,193.78,4.184,-3.11,-4.48,102.5,2415
61201,195.50,4.276,-2.19,-5.40,102.5,2422
61321,199.61,4.272,-5.10,-6.77,102.5,2428
61439,197.38,4.252,-6.47,-3.84,102.5,2427
61520,196.92,4.388,-4.24,-2.93,102.5,2440
61600,194.16,4.416,-3.29,-1.98,102.5,2453
61680,194.27,4.428,-2.34,-1.03,102.5,2459
61762,194.10,4.464,-1.38,-0.08,102.5,2461
61879,199.50,4.548,0.04,-2.18,102.5,2471
61959,195.88,4.468,-1.94,-3.14,102.5,2474
62039,196.28,4.408,-2.89,-4.09,102.5,2476
62120,196.45,4.368,-3.85,-5.04,102.5,2481
62201,197.98,4.328,-4.80,-2.79,102.5,2483
62320,197.43,4.264,-6.23,-1.36,102.5,2490
62401,196.30,4.372,-3.50,-0.41,102.5,2490
62520,194.08,4.456,-2.07,-3.11,102.5,2497
62600,192.66,4.452,-1.24,-4.06,102.5,2501
62680,195.05,4.328,-3.82,-5.01,102.5,2506
62760,193.38,4.288,-4.77,-5.96,102.5,2506
62839,193.00,4.224,-5.72,-3.47,102.5,2511
62920,192.70,4.256,-4.66,-2.52,102.5,2515
63000,190.50,4.276,-3.71,-1.57,102.5,2515
63081,189.16,4.316,-2.76,-0.62,102.5,2518
63200,191.13,4.376,-1.33,-2.13,102.5,2521
63280,189.74,4.392,-0.73,-3.08,102.5,2525
63362,187.72,4.276,-3.32,-4.03,102.5,2530
63480,191.26,4.204,-4.74,-5.46,102.5,2534
63561,189.52,4.152,-5.70,-2.73,102.5,2535
63681,186.90,4.264,-2.49,-1.30,102.5,2541
63800,188.40,4.304,-1.05,0.01,102.5,2543
63881,187.96,4.320,-0.55,-2.21,102.5,2549
64000,188.57,4.196,-3.53,-3.70,102.5,2548
64080,186.56,4.144,-4.51,-4.69,102.5,2553
64160,187.11,4.108,-5.50,-5.68,102.5,2553
64240,186.90,4.172,-3.27,-2.95,102.5,2556
64360,187.07,4.248,-1.79,-1.47,102.5,2561
64440,186.75,4.272,-0.80,-0.48,102.5,2558
64521,184.82,4.304,0.06,0.14,102.5,2562
64639,186.41,4.212,-2.13,-2.67,102.5,2570
64720,185.94,4.168,-3.12,-3.66,102.5,2569
64801,184.25,4.112,-4.11,-4.65,102.5,2570
64922,184.97,4.144,-2.86,-2.67,102.5,2575
65040,180.52,4.180,-1.40,-1.20,102.5,2577
65121,179.71,4.196,-0.44,-0.24,102.5,2573
65199,182.06,4.240,0.51,0.59,102.5,2578
65281,181.32,4.236,0.87,0.59,102.5,2581
65399,181.26,4.136,-1.72,-2.71,102.5,2574
65479,180.09,4.092,-2.67,-3.66,102.5,2583
65559,180.90,4.020,-3.62,-4.61,102.5,2587
65640,179.67,3.984,-4.57,-3.07,102.5,2589
65759,178.29,4.052,-2.08,-1.65,102.5,2578
65840,176.87,4.064,-1.13,-0.69,102.5,2583
65920,174.78,4.084,-0.18,0.26,102.5,2598
65999,177.19,4.124,0.77,0.62,102.5,2594
66080,174.46,4.116,0.77,-1.73,102.5,2579
66160,175.05,4.020,-1.33,-2.68,102.5,2578
66241,172.11,3.952,-2.28,-3.63,102.5,2590
66361,172.44,3.864,-3.71,-3.05,102.5,2585
66479,171.70,3.908,-2.40,-1.66,102.5,2596
66561,174.58,3.944,-1.46,-0.72,102.5,2593
66679,174.99,3.992,-0.07,0.67,102.5,2587
66760,172.63,4.016,0.27,0.79,102.5,2590
66880,170.75,3.980,0.27,-2.12,102.5,2586
67001,173.50,3.864,-2.86,-3.50,102.5,2585
67120,170.83,3.808,-4.24,-4.87,102.5,2585
67201,171.89,3.868,-2.46,-2.17,102.5,2585
67320,170.69,3.912,-1.08,-0.80,102.5,2587
67401,169.14,3.932,-0.17,0.12,102.5,2586
67521,181.49,4.120,0.40,1.15,102.5,2586
67639,268.99,5.276,0.40,-0.89,102.5,2602
67720,277.00,5.840,-1.82,-2.00,102.5,2632
67840,270.30,5.964,-3.61,-3.80,102.5,2615
67920,264.79,5.880,-4.85,-2.60,102.5,2617
68039,262.69,6.024,-1.86,-0.76,102.5,2659
68119,266.44,6.080,-0.65,0.44,102.5,2658
68200,265.47,6.192,0.56,1.66,102.5,2673
68280,263.67,6.248,1.80,2.89,102.5,2686
68361,262.90,6.288,3.04,4.14,102.5,2699
68480,259.51,6.380,4.91,5.54,102.5,2729
68560,256.06,6.376,5.53,5.54,102.5,2744
68640,260.19,6.348,5.53,2.63,102.5,2754
68719,259.43,6.184,3.42,1.35,102.5,2762
68799,256.06,6.088,2.14,0.07,102.5,2782
68880,255.11,5.972,0.86,1.84,102.5,2787
68960,255.49,5.876,-0.43,3.13,102.5,2810
69040,252.35,5.760,-1.70,4.40,102.5,2823
69120,248.96,5.736,-0.88,4.40,102.5,2828
69201,248.54,5.776,0.40,1.97,102.5,2844
69319,244.49,5.816,2.32,0.04,102.5,2857
69401,242.52,5.856,3.61,0.86,102.5,2863
69521,240.72,5.804,4.25,2.76,102.5,2896
69600,239.43,5.704,2.46,4.03,102.5,2900
69680,239.15,5.604,1.18,5.31,102.5,2915
69759,239.89,5.492,-0.11,5.63,102.5,2929
69840,240.70,5.392,-1.39,3.56,102.5,2925
69919,239.38,5.488,0.39,2.28,102.5,2941
70001,234.72,5.552,1.67,0.99,102.5,2958
70120,237.60,5.652,3.61,-0.95,102.5,2969
70200,236.27,5.704,4.93,1.46,102.5,2974
70280,233.30,5.680,4.93,2.77,102.5,2994
70360,233.07,5.568,3.04,4.09,102.5,3003
70441,233.45,5.480,1.72,5.25,102.5,3010
70560,231.99,5.344,-0.25,3.20,102.5,3017
70640,230.06,5.256,-1.55,1.90,102.5,3024
70720,229.09,5.292,-0.42,0.62,102.5,3037
70799,231.97,5.336,0.88,-0.68,102.5,3059
70881,225.06,5.344,2.17,-0.20,102.5,3048
71000,222.60,5.332,3.93,1.73,102.5,3063
71081,213.74,5.268,3.93,3.04,102.5,3073
71200,179.65,4.692,1.07,4.18,102.5,3061
71281,155.09,4.284,-0.14,2.32,102.5,3071
71400,137.46,3.704,-1.87,0.59,102.5,3071
71480,127.39,3.380,-2.91,-0.44,102.5,3063
71600,110.10,2.956,-4.33,-1.87,102.5,3052
71680,107.45,2.712,-5.19,-2.73,102.5,3037
71762,99.74,2.488,-6.00,-3.53,103.3,3035
71880,89.36,2.256,-7.15,-4.68,103.3,3030
71959,83.49,2.120,-7.88,-5.42,103.3,3010
72041,80.80,2.040,-5.48,-6.12,103.3,2990
72161,76.05,1.840,-5.23,-7.09,103.3,2976
72280,72.15,1.724,-5.23,-8.02,103.3,2944
72361,72.19,1.676,-5.23,-8.63,103.3,2923
72481,67.51,1.608,-5.23,-5.79,103.3,2900
72601,65.14,1.492,-8.03,-4.91,103.3,2878
72720,63.89,1.428,-8.86,-4.09,103.3,2847
72800,63.38,1.400,-9.41,-3.54,103.3,2826
72880,62.57,1.376,-9.96,-3.26,103.3,2796
72961,62.13,1.364,-10.51,-3.26,103.3,2771
73080,61.51,1.376,-8.68,-3.26,103.3,2754
73160,61.20,1.376,-8.13,-3.26,103.3,2745
73240,61.81,1.380,-7.58,-3.26,103.3,2718
73321,62.57,1.384,-7.03,-5.64,103.3,2685
73440,62.62,1.400,-6.21,-3.50,103.3,2683
73520,68.57,1.436,-5.66,-2.95,103.3,2673
73601,73.11,1.492,-5.11,-2.41,103.3,2659
73720,78.51,1.624,-4.31,-1.60,103.3,2600
73800,80.63,1.712,-3.79,-1.09,103.3,2583
73880,86.75,1.836,-3.28,-0.58,103.3,2577
74000,111.21,2.304,-2.48,0.22,103.3,2560
74079,145.83,2.592,-2.11,0.83,103.3,2552
74162,169.63,3.372,-2.11,1.15,103.3,2554
74281,176.17,3.772,-2.11,1.15,103.3,2538
74399,178.86,3.852,-4.25,-1.98,103.3,2531
74479,174.75,3.832,-5.15,-2.88,103.3,2527
74560,178.65,3.828,-6.06,-3.79,103.3,2526
74639,176.75,3.800,-6.98,-4.71,103.3,2522
74720,178.00,3.868,-5.16,-3.35,103.3,2520
74801,175.79,3.912,-4.25,-2.43,103.3,2520
74920,176.60,3.980,-2.87,-1.06,103.3,2532
75000,176.05,4.004,-1.96,-0.14,103.3,2540
75079,174.18,4.032,-1.02,0.79,103.3,2543
75160,175.83,4.056,-0.10,1.71,103.3,2535
75241,174.73,4.104,0.81,2.63,103.3,2535
75360,174.05,4.140,2.21,4.03,103.3,2545
75440,175.28,4.176,3.17,4.03,103.3,2551
75520,173.04,4.180,3.64,1.41,103.3,2544
75599,175.69,4.196,3.64,0.48,103.3,2545
75680,171.68,4.172,3.64,-0.48,103.3,2556
75761,166.24,4.012,1.19,-1.42,103.3,2556
75840,161.36,3.888,0.28,1.05,103.3,2556
75921,156.40,3.740,-0.64,1.97,103.3,2557
76041,152.06,3.572,-1.96,2.08,103.3,2557
76121,151.70,3.568,-0.56,-0.80,103.3,2554
76239,147.48,3.556,0.71,0.19,103.3,2561
76321,147.78,3.540,1.55,1.03,103.3,2556
76440,146.57,3.520,2.81,2.29,103.3,2558
76520,143.96,3.508,3.23,3.13,103.3,2556
76599,125.89,3.292,3.23,3.13,103.3,2548
76680,109.57,3.140,3.23,0.59,103.3,2547
76760,100.27,2.872,0.97,-0.12,103.3,2548
76840,96.29,2.648,0.32,-0.78,103.3,2538
76920,94.80,2.524,-0.31,-1.40,103.3,2534
77001,90.12,2.372,-0.93,-2.02,103.3,2527
77120,79.97,2.136,-1.84,-2.93,103.3,2500
77200,77.92,1.976,-2.39,-3.49,103.3,2495
77280,76.33,1.876,-2.94,-4.04,103.3,2492
77361,76.05,1.812,-3.48,-2.43,103.3,2483
77440,74.06,1.764,-3.99,-1.92,103.3,2475
77520,73.74,1.732,-4.50,-1.41,103.3,2467
77640,74.84,1.700,-5.27,-0.64,103.3,2449
77720,74.25,1.676,-5.78,-0.12,103.3,2431
77799,76.47,1.708,-6.29,0.38,103.3,2415
77880,83.68,1.700,-6.77,0.86,103.3,2406
78000,88.83,1.852,-4.74,1.59,103.3,2407
78081,88.66,1.908,-4.22,2.10,103.3,2396
78199,91.16,1.988,-3.46,2.87,103.3,2361
78279,89.65,2.012,-2.94,3.39,103.3,2354
78361,91.90,2.040,-2.43,3.71,103.3,2357
78481,95.25,2.112,-1.66,1.47,103.3,2347
78601,102.07,2.204,-1.26,0.65,103.3,2326
78719,112.82,2.364,-1.26,-0.20,103.3,2314
78801,116.31,2.508,-1.26,-0.79,103.3,2316
78919,120.72,2.588,-3.65,-1.66,103.3,2312
79000,121.63,2.644,-4.24,-2.25,103.3,2306
79080,122.39,2.664,-4.83,-2.84,103.3,2303
79161,121.80,2.676,-5.41,-3.42,103.3,2303
79280,123.47,2.688,-6.29,-4.30,103.3,2294
79360,122.37,2.680,-6.88,-4.89,103.3,2292
79439,123.33,2.748,-4.54,-2.85,103.3,2297
79520,124.09,2.768,-3.96,-2.26,103.3,2294
79600,125.25,2.784,-3.37,-1.68,103.3,2295
79680,125.51,2.816,-2.79,-1.09,103.3,2290
79759,125.95,2.848,-2.17,-0.48,103.3,2293
79841,126.74,2.876,-1.56,0.14,103.3,2290
79959,129.64,2.936,-0.63,0.53,103.3,2292
80041,131.08,2.988,-0.00,-1.81,103.3,2288
80161,136.19,3.068,0.31,-2.76,103.3,2294
80279,142.29,3.180,0.31,-0.71,103.3,2303
80360,148.12,3.288,0.31,-0.06,103.3,2297
80479,163.16,3.412,-2.67,1.01,103.3,2298
80560,169.73,3.568,-3.41,1.75,103.3,2307
80681,179.59,3.900,-0.93,2.84,103.3,2312
80799,182.45,4.132,0.31,0.66,103.3,2329
80879,187.47,4.236,1.15,-0.18,103.3,2326
80961,186.81,4.356,1.57,-1.03,103.3,2334
81080,190.20,4.412,1.57,-2.35,103.3,2351
81161,193.17,4.460,1.57,-0.07,103.3,2365
81280,191.20,4.384,-1.49,1.30,103.3,2375
81360,192.89,4.352,-2.40,2.22,103.3,2390
81441,197.13,4.440,-0.39,3.13,103.3,2402
81559,200.18,4.600,0.98,4.51,103.3,2421
81641,201.96,4.728,1.90,4.85,103.3,2434
81761,207.39,4.856,3.33,2.06,103.3,2444
81879,207.81,4.960,4.28,0.61,103.3,2459
81960,211.01,5.004,4.28,-0.38,103.3,2481
82040,215.06,5.084,4.28,0.87,103.3,2486
82120,212.43,5.032,1.84,1.85,103.3,2497
82200,212.28,4.972,0.85,2.84,103.3,2512
82280,215.25,4.932,-0.14,3.46,103.3,2516
82359,215.25,4.892,-1.13,1.43,103.3,2529
82440,211.46,4.832,-2.15,0.41,103.3,2548
82520,212.26,4.772,-3.17,-0.62,103.3,2558
82599,210.06,4.840,-1.73,-1.65,103.3,2565
82680,212.34,4.872,-0.71,-2.67,103.3,2583
82761,210.50,4.920,0.32,-0.21,103.3,2586
82880,211.18,5.004,1.86,1.33,103.3,2604
82999,206.92,5.016,2.77,2.38,103.3,2624
83079,208.28,4.976,2.77,-0.02,103.3,2627
83160,205.29,4.960,2.77,-1.08,103.3,2638
83280,202.05,4.696,-0.69,-2.67,103.3,2646
83401,195.92,4.500,-2.26,-1.53,103.3,2665
83520,190.88,4.440,-0.82,0.01,103.3,2670
83600,187.40,4.420,0.20,1.04,103.3,2675
83680,187.00,4.400,1.23,1.42,103.3,2688
83760,185.62,4.400,2.25,-1.13,104.1,2693
83841,182.09,4.348,2.25,-2.15,104.1,2692
83961,176.92,4.252,2.25,-3.64,104.1,2708
84041,175.37,4.088,-0.46,-1.89,104.1,2708
84121,175.69,4.004,-1.48,-0.87,104.1,2711
84240,172.49,3.904,-3.01,0.66,104.1,2721
84321,170.52,3.944,-1.29,1.42,104.1,2720
84440,159.92,3.872,0.19,-1.14,104.1,2718
84519,159.56,3.820,0.79,-2.10,104.1,2724
84600,158.18,3.820,0.79,-3.05,104.1,2730
84720,153.84,3.700,0.79,-1.55,104.1,2726
84800,153.44,3.552,-1.97,-0.64,104.1,2733
84881,154.69,3.492,-2.85,0.24,104.1,2729
84999,154.28,3.496,-1.72,1.45,104.1,2718
85080,151.23,3.496,-0.84,1.45,104.1,2727
85161,149.73,3.508,0.04,-1.21,104.1,2736
85280,149.43,3.516,1.36,-2.52,104.1,2732
85361,149.71,3.508,1.58,-1.18,104.1,2727
85479,146.85,3.480,1.58,0.14,104.1,2733
85559,148.41,3.480,1.58,0.69,104.1,2732
85640,147.91,3.392,-1.19,0.69,104.1,2732
85721,149.88,3.380,-2.07,-2.19,104.1,2724
85841,155.30,3.388,-3.39,-3.50,104.1,2727
85960,170.22,3.656,-0.93,-1.27,104.1,2741
86040,183.59,3.884,0.01,-0.33,104.1,2738
86120,191.01,4.160,1.02,0.68,104.1,2748
86200,196.07,4.396,1.92,1.72,104.1,2748
86281,206.96,4.592,1.92,2.12,104.1,2751
86400,219.46,5.024,1.92,-1.00,104.1,2765
86481,220.78,5.060,1.46,1.46,104.1,2780
86600,222.47,5.216,3.22,3.22,104.1,2790
86680,220.29,5.260,4.39,4.39,104.1,2805
86761,220.16,5.268,4.68,5.41,104.1,2813
86841,220.97,5.288,4.68,3.25,104.1,2828
86960,220.35,5.148,1.76,1.44,104.1,2842
87040,219.00,5.076,0.56,0.23,104.1,2847
87120,216.43,4.980,-0.65,1.46,104.1,2868
87200,218.68,5.068,1.15,2.67,104.1,2883
87280,218.87,5.120,2.36,3.88,104.1,2893
87360,216.43,5.152,3.61,4.66,104.1,2900
87441,216.41,5.164,3.91,2.05,104.1,2913
87559,216.07,5.120,2.09,0.19,104.1,2937
87639,216.35,5.020,0.84,-1.05,104.1,2946
87721,214.21,4.960,-0.40,1.38,104.1,2956
87840,212.34,4.824,-2.25,3.22,104.1,2969
87920,209.29,4.848,-0.13,4.00,104.1,2979
88001,204.36,4.820,1.11,1.40,104.1,2983
88120,194.33,4.748,2.95,-0.44,104.1,3001
88200,191.24,4.680,3.71,-1.65,104.1,3006
88280,188.12,4.572,3.71,-2.85,104.1,3019
88360,185.48,4.420,1.81,-0.11,104.1,3032
88440,183.19,4.356,0.64,1.06,104.1,3032
88521,183.78,4.272,-0.53,2.24,104.1,3045
88640,183.74,4.144,-2.29,2.97,104.1,3061
88720,184.61,4.196,-0.71,0.19,104.1,3054
88801,184.18,4.252,0.46,-0.98,104.1,3061
88920,180.31,4.276,2.22,-2.74,104.1,3073
89000,181.66,4.312,3.10,-1.42,104.1,3073
89081,182.38,4.296,3.10,-0.25,104.1,3076
89201,183.25,4.200,1.05,1.51,104.1,3084
89321,216.33,4.452,-0.74,3.30,104.1,3107
89440,222.92,4.900,0.13,1.19,104.1,3121
89520,223.81,5.120,1.44,-0.12,104.1,3121
89599,224.36,5.220,2.76,-1.44,104.1,3138
89679,220.69,5.288,4.08,1.33,104.1,3146
89761,221.56,5.332,5.39,2.65,104.1,3140
89880,215.97,5.344,5.39,4.63,104.1,3170
89960,218.83,5.188,2.82,3.07,104.1,3192
90039,217.98,5.072,1.50,1.75,104.1,3198
90119,220.82,5.040,0.18,0.43,104.1,3201
90199,220.86,5.072,1.26,-0.89,104.1,3219
90280,218.28,5.132,2.61,1.19,104.1,3219
90360,218.05,5.196,3.96,2.54,104.1,3229
90441,216.88,5.244,5.15,3.89,104.1,3259
90560,119.64,3.932,5.15,3.77,104.1,3250
90639,75.29,3.232,4.25,3.38,104.1,3246
90721,63.95,1.944,-0.04,-0.04,104.1,3300
90840,71.28,1.704,0.00,0.00,104.1,3156
90920,71.64,1.624,0.00,0.00,104.1,3043
91000,69.50,1.568,0.00,0.00,104.1,2937
91082,68.06,1.520,0.00,0.00,104.1,2836
91200,64.86,1.660,0.00,0.00,104.1,2676
91280,64.38,1.688,0.00,0.00,104.1,2610
91361,68.49,1.700,2.26,2.33,104.1,2575
91480,88.83,2.008,3.03,3.10,104.1,2454
91561,116.55,2.200,3.40,3.60,104.1,2359
91639,140.15,2.500,3.40,3.72,104.1,2249
91720,155.81,2.960,3.40,3.72,104.1,2130
91800,170.73,3.328,3.40,3.72,104.1,2017
91880,164.88,3.632,3.40,3.72,104.1,2055
91960,174.27,3.784,3.40,3.72,104.1,2048
92041,181.73,3.976,3.40,3.72,104.1,2025
92160,185.92,4.208,3.40,3.72,104.1,2039
92239,183.93,4.336,3.40,3.72,104.1,2031
92320,181.62,4.284,1.10,3.72,104.1,2049
92399,184.97,4.268,0.37,1.15,104.1,2027
92480,181.39,4.248,-0.36,0.41,104.1,2044
92561,183.51,4.208,-1.10,-0.32,104.1,2028
92681,179.44,4.148,-2.20,-1.42,104.1,2043
92801,177.59,4.088,-3.29,-2.52,104.1,2033
92921,170.77,4.136,-0.47,0.13,104.1,2033
93001,163.16,4.084,0.26,0.86,104.1,2034
93121,155.73,3.920,1.31,1.90,104.1,2033
93200,152.55,3.828,1.83,2.25,104.1,2030
93280,150.81,3.740,1.83,2.25,104.1,2035
93361,150.64,3.692,1.83,2.25,104.1,2028
93441,146.85,3.636,1.83,2.25,104.1,2033
93521,146.89,3.596,1.83,2.25,104.1,2023
93640,145.66,3.576,1.83,2.25,104.1,2021
93720,145.34,3.564,1.83,2.25,104.1,2016
93799,145.62,3.540,1.83,2.25,104.1,2012
93880,144.33,3.516,1.83,2.25,104.1,2011
93960,145.22,3.476,1.83,0.04,104.1,2008
94040,142.93,3.376,-0.68,-0.55,104.1,2011
94121,142.88,3.356,-1.26,-1.13,104.1,2002
94241,145.72,3.320,-2.14,0.94,104.1,2001
94360,143.10,3.408,0.67,1.82,104.1,1999
94440,142.69,3.436,1.25,2.41,104.1,1995
94521,144.71,3.444,1.84,2.99,104.1,1996
94641,141.93,3.452,2.50,3.58,104.1,1996
94760,142.63,3.448,2.50,3.58,104.1,1986
94841,140.68,3.436,2.50,3.58,104.1,1984
94921,141.53,3.424,2.50,3.58,104.1,1982
95041,141.17,3.404,2.50,3.58,104.1,1977
95120,142.23,3.416,2.50,3.58,104.1,1982
95200,143.50,3.416,2.50,3.58,104.1,1974
95282,144.13,3.428,2.50,3.58,104.1,1975
95401,144.35,3.388,0.29,1.37,104.1,1972
95479,144.16,3.376,-0.30,0.78,104.1,1965
95560,144.49,3.360,-0.89,0.19,104.1,1970
95640,142.12,3.344,-1.47,-0.39,104.1,1964
95722,141.19,3.304,0.02,-0.98,104.1,1967
95840,145.24,3.396,0.89,-1.85,104.1,1960
95919,144.69,3.416,1.48,0.66,104.1,1958
95999,143.92,3.428,2.03,1.21,104.1,1949
96080,145.91,3.456,2.57,1.76,104.1,1951
96161,144.47,3.472,2.92,2.31,104.1,1951
96280,144.13,3.464,2.92,3.13,104.1,1946
96359,142.71,3.464,2.92,3.13,104.1,1946
96439,143.52,3.468,2.92,3.13,104.1,1935
96520,144.03,3.472,2.92,3.13,104.1,1938
96600,143.60,3.472,2.92,3.13,104.1,1934
